id,question,answer_1,answer_2,answer_3,solution
5016,Perché all’interno di una massa d’aria avvenga il processo di condensazione del vapore acqueo è necessario:,abbassarne temperatura e pressione contemporaneamente.,abbassarne la temperatura qualora la pressione rimanga costante.,abbassarne la pressione qualora la temperatura rimanga costante.,2
5017,"Il processo di condensazione del vapore acqueo nell’aria atmosferica determina il passaggio di stato dell’acqua da gas a liquido. È’ possibile affermare che tale processo sprigiona energia termica (calore latente di condensazione) che è trasmessa all’aria stessa, la cui temperatura varia conseguentemente?",Si.,"No, perché i passaggi di stato dell’acqua dallo stato gassoso allo stato liquido e viceversa non sprigionano energia termica.","No, perché comunque l’energia termica sprigionata non altera la temperatura dell’aria.",1
5018,L’evaporazione dell’acqua è un processo endotermico?,"No, non è un processo endotermico.","Si, infatti la temperatura dell’acqua liquida si abbassa durante l’evaporazione, a meno che non sia fornito calore dall’ambiente circostante.","Si, infatti la temperatura dell’acqua liquida s’innalza perché l’evaporazione è un processo che libera calore.",2
5019,Quando all’interno di una massa d’aria si verifica il processo di condensazione del vapore acqueo la temperatura dell’aria stessa tende:,a diminuire.,a rimanere costante se non intervengono altri fattori.,ad aumentare se non intervengono altri fattori.,3
5020,Generalmente si può affermare che i processi di condensazione e di evaporazione dell’acqua:,rispettivamente forniscono e sottraggono calore alla massa d’aria interessata.,non forniscono né sottraggono calore alla massa d’aria interessata.,sono solo in grado di fornire calore alla massa d’aria interessata.,1
5021,È vero che i fenomeni meteorologici sono anche causati dai processi di trasformazione dell’acqua da liquido a vapore o a solido e viceversa per via delle conseguenti cessioni o sottrazioni di energia termica alle masse d’aria?,"No, essi non hanno nulla a che vedere con quanto sopra.","No, essi sono esclusivamente determinati dai processi di condensazione del vapore acqueo.",Si.,3
5022,"Le nubi, così come il fumo di una pentola in cui vi è acqua in ebollizione, sono costituite da vapore acqueo?","No, ma da aerosol o piccolissime gocce di acqua allo stato liquido.","Si, perché costituite da aerosol che sono molecole gassose molto grandi.","Si, perché in determinate condizioni anche il vapore acqueo è un gas visibile.",1
5023,La pressione atmosferica si definisce come:,il peso di una colonna d’aria pari a quello di una colonna di mercurio alta 1013.2 millimetri.,il peso di una colonna d’aria di altezza unitaria.,il peso della colonna d’aria che insiste sull’unità di superficie.,3
5024,Lo strumento per misurare la pressione atmosferica è:,l’anemometro.,il pressostato.,il barometro.,3
5025,"Salendo in quota il valore della pressione atmosferica diminuisce, infatti diminuisce il peso della colonna d’aria che insiste sull’unità di superficie. Tale diminuzione prende il nome di:",gradiente barico orizzontale.,gradiente barico verticale.,gradiente termico verticale.,2
5026,Il valore approssimativo della pressione atmosferica a circa 5500 m di altitudine sul livello del mare è:,circa zero.,un quarto di quello a livello del mare.,la metà di quello a livello del mare (circa 500 millibar o hectopascal).,3
5027,"In atmosfera standard, quasi mai esistente in natura perché ideata dall’uomo come elemento di riferimento, la pressione al livello del mare è:",1013.2 millibar o hectopascal.,760 millibar.,variabile secondo la latitudine.,1
5028,Se la pressione atmosferica in due punti della superficie terrestre dotati della medesima elevazione sul livello del mare è diversa si dice:,che esiste un gradiente barico verticale.,che l’atmosfera quel giorno non è standard.,che esiste un gradiente barico orizzontale.,3
5029,Che cosa sono le isobare?,Le linee che uniscono i punti di uguale altitudine.,Le linee che uniscono i punti nei quali la pressione atmosferica è standard.,Le linee che uniscono i punti nei quali esiste uguale pressione atmosferica.,3
5030,Il vento cosiddetto di gradiente è normalmente:,uno spostamento di aria nell’atmosfera da una zona a pressione maggiore ad una zona a pressione minore.,uno spostamento di aria nell’atmosfera da una zona a pressione minore ad una zona a pressione maggiore.,uno spostamento di aria nell’atmosfera dovuto esclusivamente alla presenza di zone della terra con temperature differenti.,1
5031,Perché la direzione del vento non è mai rettilinea da una zona di alta pressione a una zona di bassa pressione?,Solo perché la superficie terrestre è piena di ostacoli che il vento è costretto ad aggirare.,Solo perché attorno ad una zona di alta pressione esistono più zone di bassa pressione.,"Soprattutto perché esistono forze devianti, quali quella di Coriolis e quella di attrito col terreno, che non consentono al vento di procedere in direzione rettilinea.",3
5032,"Tutti i corpi, i liquidi e i gas in movimento rispetto alla superficie terrestre, dotati di una componente di moto parallela ai meridiani, vengono deviati dalla loro traiettoria inizialmente rettilinea. Come si chiama la forza deviante che determina ciò e a che cosa è dovuta?","Forza di Coriolis, dovuta alla rotazione della Terra attorno al proprio asse.","Forza di Coriolis, dovuta alla rivoluzione della Terra attorno al Sole.","Forza deviante, dovuta esclusivamente alla presenza degli attriti generati da ogni tipo di moto.",1
5033,"Nell’emisfero Nord la forza di Coriolis determina una deviazione del vento, nel suo dirigersi da una zona di alta pressione a una zona di bassa pressione, verso:",sinistra.,destra.,altre zone adiacenti di alta pressione.,2
5034,"A seguito dell’intervento delle forze devianti, il vento nell’emisfero Nord circola attorno ad una zona od area di alta pressione in senso:",antiorario se osservato dall’alto (es. da un satellite).,orario se osservato dall’alto (es. da un satellite).,orario se osservato dal basso.,2
5035,"A seguito dell’intervento delle forze devianti, il vento nell’emisfero Nord circola attorno ad una zona od area di bassa pressione in senso:",antiorario se osservato dal basso.,orario se osservato dall’alto (es. da un satellite).,antiorario se osservato dall’alto (es. da un satellite).,3
5036,Come sono chiamate le zone o aree di bassa e di alta pressione?,Aree cicloniche e anticicloniche e indicate rispettivamente con una H/A (high pressure/alta pressione) e una L/B (low pressure/bassa pressione) sulle carte meteorologiche.,Aree cicloniche e anticicloniche e indicate rispettivamente con una L/B (low pressure/bassa pressione) e una H/A (high pressure/alta pressione) sulle carte meteorologiche.,Aree anticicloniche e cicloniche e indicate rispettivamente con L/B (low pressure/bassa pressione) e una H/A (high pressure/alta pressione) sulle carte meteorologiche.,2
5037,"Se su una carta meteorologica si osservano isobare molto ravvicinate, si può affermare che:",esiste un gradiente barico orizzontale minimo e il vento sarà sostenuto.,esiste un gradiente barico orizzontale elevato e il vento sarà sostenuto.,esiste un gradiente barico verticale elevato e il vento sarà sostenuto.,2
5038,L’osservazione delle isobare sulla carta del tempo ci consente di:,individuare la direzione e l’intensità del vento in una certa zona oltre ad altri dati meteorologici utili alla previsione del tempo.,individuare elementi e dati utili solamente alla previsione del tempo inteso come copertura nuvolosa del cielo.,individuare solamente il gradiente barico verticale per un confronto con i parametri dell’atmosfera standard.,1
5039,Nella pratica del Volo Libero che cosa s’intende comunemente per “vento meteorologico”?,"Il vento generato da fenomeni meteorologici rilevanti quali temporali, forti precipitazioni ecc.",Il vento generato da fenomeni microclimatici locali come le brezze di valle o di monte.,"Il vento di gradiente, prodotto dalla situazione barica attuale rilevabile dalle carte del tempo mediante l’osservazione delle isobare.",3
5040,A quale valore in gradi corrisponde la direzione di provenienza di un vento da Sud?,135°,270°,180°,3
5041,Un vento proveniente da Nord-Est ha la seguente provenienza in gradi:,45°,225°,135°,1
5042,Emisfero Nord. Una Bassa Pressione si trova centrata a Nord di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,Nord.,Ovest.,Est.,2
5043,Emisfero Nord. Una Bassa Pressione si trova centrata a Est di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,Nord.,Sud.,Ovest.,1
5044,Emisfero Nord. Un’area di Alta Pressione si trova centrata a Nord di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,Ovest.,Est.,Nord.,2
5045,Emisfero Nord. Un’area di Alta Pressione si trova centrata a Ovest di un preciso punto della superficie terrestre. Il vento predominante (meteorologico) che ci si attende di avere in quel punto proverrà ragionevolmente da:,Sud.,Est.,Nord.,3
5046,Il Sole è la fonte principale di calore capace di elevare la temperatura dell’aria. Nella troposfera l’energia termica è trasmessa dal Sole direttamente all’aria stessa?,"Si, in gran parte per irraggiamento.","Si, totalmente per conduzione.","No, in gran parte è trasmessa indirettamente.",3
5047,Il processo di trasmissione di energia termica secondo il quale il Sole riscalda la troposfera è:,"irraggiamento del suolo, conduzione di calore dal suolo all’aria sovrastante, circolazione convettiva di aria calda verso l’alto.","irraggiamento degli strati bassi dell’atmosfera per riflessione del suolo, circolazione convettiva di aria calda verso l’alto.",conduzione diretta di calore dal sole agli strati bassi dell’atmosfera con successiva circolazione convettiva di aria calda verso l’alto.,1
5048,Durante una salita effettuata nella troposfera la temperatura dell’aria varia nel modo seguente:,mediamente aumenta.,rimane mediamente costante.,mediamente diminuisce.,3
5049,La variazione della temperatura dell’aria al variare della quota si chiama:,gradiente termico orizzontale.,gradiente termico verticale.,gradiente barico verticale.,2
5050,"Qual è il gradiente termico verticale dell’atmosfera standard, ideata dall’uomo come elemento di riferimento, ma i cui parametri sono difficilmente reperibili in natura?",1°C ogni 100 m di quota.,0.65°C ogni 100 m di quota.,6.5°C ogni 100 m di quota.,2
5051,"Se, salendo in quota, si rileva la temperatura dell’aria ogni 100 m e si riportano i suoi valori su un grafico, si costruisce:",la curva o diagramma di stato dell’atmosfera di quella località a quell’ora.,l’adiabatica secca dell’atmosfera di quella località a quell’ora.,l’isoterma di quella località a quell’ora.,1
5052,Il gradiente termico verticale dell’atmosfera in una determinata località a una certa ora si ricava:,dalla curva di stato dell’atmosfera relativa a quella località ed a quell’ora della giornata.,dalla carta del tempo relativa a quella località ed a quell’ora della giornata.,dal confronto tra adiabatica secca e adiabatica satura relative a quella località ed a quell’ora della giornata.,1
5053,Una massa d’ aria si solleva espandendosi con conseguente diminuzione della temperatura. Come si definisce il fenomeno e perchè?,"Sollevamento convettivo, perché avviene con scambio di calore con l’aria sovrastante.","Sollevamento dinamico, perché avviene con una variazione molecolare dell’aria che si solleva.","Sollevamento adiabatico, perché avviene in pratica senza scambio di calore con l’aria circostante.",3
5054,"In pratica l’aria che si solleva adiabaticamente, senza condensazione del vapore acqueo, perde:",6.5°C di temperatura ogni 1000 m.,1°C di temperatura ogni 100 m.,valori di temperatura in funzione del gradiente termico verticale di quel giorno.,2
5055,"Il calo di temperatura dell’aria, che si solleva adiabaticamente di un certo valore di quota senza condensazione del vapore acqueo, si chiama:",gradiente termico verticale e dipende dall’ora e dalla località in cui il fenomeno si verifica.,gradiente adiabatico secco (o gradiente termico dell’adiabatica secca) e dipende principalmente dall’ora e dalla località in cui il fenomeno si verifica.,gradiente adiabatico secco (o gradiente termico dell’adiabatica secca) e si può affermare con buona approssimazione che non dipende dall’ora e dalla località in cui il fenomeno si verifica.,3
5056,"L’aria che si solleva adiabaticamente contiene una certa quantità di vapore acqueo. Al diminuire della temperatura dell’aria si raggiungono le condizioni per cui il vapore acqueo inizia a condensare (temperatura dell’aria = temperatura di rugiada, umidità relativa = 100 %). L’ulteriore salita dell’aria determina un calo di temperatura di:",1°C ogni 100 m (Il gradiente è sostanzialmente costante con la quota).,"0.5°C circa ogni 100 m (Il gradiente non è costante con la quota, ma al diminuire della temperatura esso tende ad aumentare).",2°C circa ogni 100 m.,2
5057,Come chiamiamo il sollevamento di aria alla presenza di fenomeni di condensazione del vapore acqueo?,Sollevamento adiabatico saturo o in regime di saturazione.,Sollevamento adiabatico anomalo perché in condizioni di saturazione.,Sollevamento adiabatico secco perché in condizioni di non saturazione.,1
5058,Se il gradiente termico verticale della giornata è superiore ad 1° C ogni 100 m l’aria si definisce:,stabile.,instabile.,dotata di equilibrio indifferente.,2
5059,Il fattore che ci indica se l’aria è stabile o instabile è:,il gradiente adiabatico secco dell’aria.,il gradiente termico verticale.,il gradiente adiabatico saturo dell’aria.,2
5060,Se l’aria risulta instabile dall’osservazione del suo gradiente termico verticale ci dovremo attendere che:,una bolla d’aria che si stacca dal suolo dotata di moto convettivo arresti la sua salita molto presto.,una bolla d’aria che si stacca dal suolo dotata di moto convettivo continui nella sua salita con velocità sempre maggiore.,una bolla d’aria che raggiunge una temperatura di poco superiore a quella dell’aria circostante riesca comunque a staccarsi dal suolo.,2
5061,"Una massa d’aria molto umida, caratterizzata da diffuse formazioni nuvolose, si dice “stabile” quando:",il suo gradiente termico verticale è inferiore al gradiente adiabatico saturo.,il suo gradiente termico verticale è superiore ad 1°C ogni 100 m.,il suo gradiente termico verticale è inferiore al gradiente adiabatico secco.,1
5062,Se il gradiente termico verticale di una massa d’aria asciutta (cioè non satura) è inferiore ad 1°C ogni 100 m si dice che essa è:,stabile.,instabile.,dotata di equilibrio indifferente.,1
5063,A una certa quota la temperatura ambiente dell’aria è pari a 12°C. Se una bolla d’aria salendo si trova ad avere una temperatura di 14°C alla stessa quota essa:,si arresterà immediatamente.,inizierà sicuramente a scendere.,continuerà sicuramente la sua salita.,3
5064,"Se una bolla d’aria contenente un’alta percentuale di umidità relativa inizia a salire dotata di moto convettivo, in che modo la condensazione del vapore acqueo influenza la sua salita?",Probabilmente ne interrompe il moto ascensionale.,Sicuramente ne accelera il moto ascensionale.,Probabilmente la condensazione del vapore acqueo non influenza il moto ascensionale.,2
5065,"Se l’aria è moderatamente instabile, una bolla d’aria umida che inizia a salire perché riscaldata dal terreno più dell’aria circostante, raggiunta la quota di condensazione:",salirà sicuramente più veloce.,si arresterà sicuramente.,inizierà una rapida discesa.,1
5066,"Se l’aria è molto stabile, una bolla d’aria che per motivi convettivi inizi a salire staccandosi dal terreno:",continuerà a salire sempre più velocemente.,salirà almeno sino alla quota di condensazione.,si arresterà quanto prima venendo a mancare la spinta di galleggiamento o di Archimede.,3
5067,"Supponendo di essere in presenza di aria umida ed instabile associata a condizioni di forte riscaldamento del terreno, vi è la possibilità che si creino:",forti correnti ascensionali e nubi cumuliformi.,forti correnti ascensionali ma non certo nubi cumuliformi.,nebbia e nubi stratificate.,1
5068,I moti termo-convettivi dell’aria sono:,moti orizzontali di masse d’aria da zone di alta pressione a zone di bassa.,moti ascensionali di aria che è forzata verso l’alto dalla presenza di rilievi.,"moti ascensionali di aria che, più calda di quella circostante, tende a sollevarsi grazie alla spinta di galleggiamento o di Archimede.",3
5069,"Quando il vento al suolo è assente o per lo più debole, l’attività termo-convettiva in pianura e nelle valli dà luogo a:",vento di gradiente.,bolle o colonne termiche dotate di moto ascensionale.,formazioni nuvolose a carattere stratificato.,2
5070,"Le bolle termiche saranno facilitate a staccarsi da terra, a parità di altre condizioni, da:",calma di vento su superfici prive di ostacoli.,leggero venticello su superfici irte di ostacoli.,leggero venticello su superfici prive di ostacoli.,2
5071,I moti termo-convettivi sono determinati principalmente:,da condizioni di stabilità dell’aria.,da condizioni di forte umidità dell’aria.,da forte riscaldamento del terreno e dal conseguente riscaldamento per conduzione dell’aria sovrastante.,3
5072,La differente natura e colorazione del terreno favorisce:,il crearsi delle condizioni di instabilità dell’aria.,il crearsi del vento di gradiente.,il distacco di bolle o colonne termiche.,3
5073,"Se non vi è umidità sufficiente a consentire il raggiungimento delle condizioni di saturazione del vapore acqueo, le termiche che si formeranno saranno chiamate:",termiche secche o blu.,termiche adiabatiche.,termiche convettive.,1
5074,Se l’aria è sufficientemente umida potranno essere evidenziate le termiche esistenti e da che cosa?,"Si, dalla formazione di nubi stratificate ad una certa quota.","Si, dalla formazione di nubi cumuliformi ad una certa quota.","Si, ma comunque non dalla presenza di alcun tipo di nube.",2
5075,Durante le ore più calde su quale tipo di terreno ci si può attendere con più probabilità di trovare movimento convettivo di aria?,Su prati verdi.,Su una superficie acquea.,Su un terreno roccioso.,3
5076,"Oltre al moto convettivo dell’aria riscaldata per conduzione dal terreno sottostante, si può verificare un movimento ascensionale dell’aria per altri motivi?","Si, per sollevamento forzato in presenza di vento in corrispondenza di rilievi.","Si, per sollevamento forzato in presenza di vento sulle pianure.",No.,1
5077,Come si chiama il sollevamento dell’aria generato dalla presenza di vento in corrispondenza di rilievi montuosi?,Sollevamento dinamico o “dinamica di pendio” in gergo volo liberistico.,Sollevamento adiabatico.,Sollevamento termodinamico.,1
5078,Può un iniziale sollevamento dinamico generato dalla presenza di vento e di rilievi montuosi trasformarsi in sollevamento termico puro?,"Si, solo in presenza di condizioni di stabilità dell’aria.","Si, in presenza di particolari condizioni di instabilità dell’aria, con molte più probabilità al di sopra della quota di condensazione.","No, neppure in presenza di particolari condizioni di instabilità dell’aria.",2
5079,Che cosa si potrà verificare qualora si stacchino delle bolle termiche alla presenza di vento moderato che sospinge l’aria su per un pendio?,Che si generino correnti ascensionali di notevole intensità.,Che si generino solamente condizioni di forte turbolenza.,Che prevalgano comunque le condizioni di “dinamica” rispetto a quelle di “termica”.,1
5080,Che cosa s’intende per inversione termica?,Una diminuzione anomala della temperatura dell’aria ad una certa quota.,"Un andamento anomalo della temperatura dell’aria, quando essa aumenta con l’aumentare della quota.",L’inversione di moto di una bolla la cui temperatura ha raggiunto il valore di quella dell’aria circostante.,2
5081,Quando si verifica un’inversione termica in prossimità del suolo può accadere che:,si formi qualche nube cumuliforme con base quasi sul terreno.,la visibilità aumenti considerevolmente in corrispondenza del suolo stesso.,si formi nebbia al suolo durante le ore notturne.,3
5082,Come si riconosce dal pendio di decollo la presenza di un eventuale strato d’inversione sottostante?,"Dalla presenza di foschia sotto lo strato di inversione, caratterizzata da un limite piuttosto netto.",Dalla presenza di nubi convettive a partire dalla base dello strato stesso.,Dalla presenza di una situazione di grande visibilità al di sotto della base dello strato d’inversione.,1
5083,"Al decollo da un pendio, la presenza di uno strato d’inversione che tipo di messaggi può suggerirci?",Nessun messaggio meteorologico o aerologico particolare.,Messaggi di sospetta possibile turbolenza anche forte e comunque di cambio delle condizioni aerologiche all’attraversamento della base dello strato stesso.,Qualche messaggio riguardante la possibilità di formazioni cumuliformi sopra lo strato stesso.,2
5084,Che cosa s’intende per “perturbazione meteorologica” causata dal passaggio di un fronte?,Il corpo nuvoloso ed i fenomeni associati alla presenza di una superficie di discontinuità esistente tra due masse d’aria aventi caratteristiche fisiche diverse.,Il corpo nuvoloso associato alle rapide variazioni di pressione atmosferica al suolo dovuta all’avanzare delle masse d’aria.,Il corpo nuvoloso associato a forti venti su rilievi montuosi quando le masse d’aria si muovono sul terreno.,1
5085,Che cos’è un fronte caldo?,È la superficie di separazione tra una massa d’aria fredda che spostandosi raggiunge una massa d’aria più calda.,È la superficie di separazione tra una massa d’aria calda che spostandosi raggiunge una massa d’aria più fredda.,È un fenomeno non legato ad alcun evento meteorologico.,2
5086,Quali fenomeni meteorologici genera normalmente un fronte caldo al suo passaggio?,"Nubi a sviluppo prevalentemente verticale (tipicamente Cumuli congesti, Cumulonembi), precipitazioni violente ed a carattere discontinuo o in forma di rovescio, con aumento della temperatura media.","Nubi a sviluppo prevalentemente orizzontale a quote diverse (tipicamente Nembostrati, Altostrati e Strati), precipitazioni mediamente non violente ma a carattere continuo con aumento della temperatura media.","Nubi a sviluppo orizzontale molto basse (tipicamente Strati e Stratocumuli), precipitazioni solo a carattere discontinuo e violento con aumento della temperatura media.",2
5087,Che cos’è un fronte freddo?,È la superficie di separazione tra una massa d’aria fredda che spostandosi raggiunge una massa d’aria più calda.,È la superficie di separazione tra una massa d’aria calda che spostandosi raggiunge una massa d’aria più fredda.,È un fenomeno non legato ad alcun evento meteorologico.,1
5088,Quali fenomeni meteorologici genera normalmente un fronte freddo al suo passaggio?,"Nubi a sviluppo orizzontale, precipitazioni a carattere debole e continuo con diminuzione della temperatura.","Nubi a sviluppo verticale, precipitazioni a carattere debole e continuo con diminuzione della temperatura e condizioni di stabilità dell’aria dopo il passaggio del fronte stesso.","Nubi a sviluppo verticale, precipitazioni a carattere violento e discontinuo con diminuzione della temperatura e condizioni di instabilità dell’aria dopo il passaggio del fronte stesso.",3
5089,Presenza di nubi cumuliformi a ingente sviluppo verticale (tipicamente Cumuli congesti e Cumulonembi) e condizioni d’instabilità dell’aria sono generalmente associate al passaggio di:,un fronte freddo.,un fronte caldo.,una forte inversione termica alle quote medie.,1
5090,"Le nubi stratiformi, anche di notevole spessore (tipicamente Nembostrati più o meno accompagnati da Altostrati e Strati) sono generalmente associate al passaggio di:",un fronte freddo.,un fronte caldo.,un fronte caldo o freddo su rilievi montuosi.,2
5091,Che cosa s’intende per fronte occluso?,Una perturbazione complessa formata dall’insieme di un fronte freddo che ha raggiunto un fronte caldo e che da luogo a tutti i fenomeni meteorologici caratteristici di entrambi i fronti.,Una perturbazione a carattere freddo che in effetti dà luogo anche a tutti i fenomeni meteorologici tipici di quelle a carattere caldo.,Una perturbazione a carattere caldo che in effetti dà luogo anche a tutti i fenomeni meteorologici tipici di quelle a carattere freddo.,1
5092,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello basso:","Strati, Nembostrati, Cirrostrati.","Strati, Stratocumuli.","Cumuli, Cirrocumuli, Stratocumuli, Cumulonembi.",2
5093,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello medio:",Altostrati e Altocumuli.,Cumulonembi e Altostrati.,"Altostrati, Altocumuli e Cirrocumuli.",1
5094,"In base alla classificazione convenzionale delle nubi, sono considerate nubi del livello alto:",Altocumuli e Altostrati.,Altocumuli e Cumulonembi.,"Cirri, Cirrostrati e Cirrocumuli.",3
5095,A quale famiglia di nubi appartengono i Cumuli?,Nubi a sviluppo verticale o convettive.,Nubi medie a sviluppo verticale.,Nubi basse a sviluppo verticale.,1
5096,Come può essere definito il Cumulo congesto?,Un Cumulo in fase evolutiva avanzata caratterizzato da un elevato sviluppo verticale.,Un Cumulo di tipo particolare in fase iniziale di formazione.,Un Cumulo che non riesce a svilupparsi completamente e a scaricare l’energia termodinamica accumulata.,1
5097,Che cosa è un Cumulonembo?,Un particolare tipo di Cumulo la cui base è piatta e densa appunto come un Nembostrato.,"Una nube cumuliforme al culmine della sua fase evolutiva, caratterizzata dalla violenza dei fenomeni meteorologici a essa associati quali: precipitazioni a carattere temporalesco, fenomeni elettrostatici, formazioni di ghiaccio e wind shear verticale ed orizzontale.","Un particolare tipo di Cumulo, capace di generare fenomeni temporaleschi, che si forma esclusivamente in zone montuose d’estate al passaggio di una perturbazione a carattere freddo.",2
5098,In relazione al Volo Libero il Cumulonembo può essere considerato come:,una nube di grande utilità per il volo.,una nube decisamente pericolosa per il volo.,una nube che non riveste alcuna importanza ai fini del volo.,2
5099,Qual è la sequenza tipica di sviluppo delle nubi convettive?,"Strato, Altocumulo, Cumulonembo, Cumulo.","Nembostrato, Stratocumulo, Cumulonembo, Cumulo.","Cumulo di ridotte dimensioni, Cumulo congesto, Cumulonembo.",3
5100,"La presenza di nubi stratificate è positiva ai fini del Volo Libero, per la possibilità di correnti ascensionali?","Si, in quanto sono possibili voli di distanza.","Sì, ma purtroppo sono associate a condizioni di scarsa visibilità.",Praticamente no.,3
5101,"La presenza di dense nubi stratificate a varie quote, esclude la possibilità che vi siano anche formazioni nuvolose cumuliformi consistenti?","Si, perché le nubi stratificate sono sintomo di fronte caldo nel quale non è possibile incontrare nubi convettive.","No, perché l’aumento di temperatura dovuto al fronte caldo cui sono associate le nubi stratificate può dar luogo a sollevamento di aria con conseguente formazione di nubi a carattere convettivo.","No, perché le nubi stratificate potrebbero essere dovute al passaggio di un fronte occluso che può dar luogo altresì al formarsi di nubi convettive ed addirittura a carattere temporalesco.",3
5102,"Quando un forte vento in quota interessa zone montuose, sovente s’innesca un fenomeno ondulatorio che è caratterizzato dalla presenza di:",nubi stratificate alte del genere Cirrocumuli che tendono a stratificarsi in Cirrostrati per poi evolvere in Cumuli evidenziando il fenomeno ondulatorio.,"nubi stratificate basse del genere Strato, indice di moti ondulatori.","nubi lenticolari (in genere Altocumuli, ma talvolta anche Stratocumuli e/o Cirrocumuli) e nubi rotoriche (Cumulus fractus) che evidenziano il fenomeno dell’onda orografica.",3
5103,Una delle caratteristiche delle nubi lenticolari è:,"la tipica forma a sezione aerodinamica, simile a quella di una mandorla.","il loro sviluppo verticale, nettamente superiore a quello orizzontale.",la velocità di spostamento della nube.,1
5104,Oltre al vento di gradiente è tipica del microclima di zone vallive e montuose la presenza di:,brezze di monte la sera e brezze di valle il mattino.,"brezze di monte durante la notte e il mattino presto, brezze di valle durante le ore calde della giornata.","brezze che variano d’intensità e direzione in funzione del luogo, ma sono costanti a tutte le ore del giorno e della notte.",2
5105,"In zone marittime durante la giornata, a causa del diverso riscaldamento delle superfici acquee rispetto alle superfici terrestri, si generano:","brezze dal mare durante le ore calde della giornata, e viceversa durante la notte.",brezze da terra durante le ore calde della giornata e viceversa durante la notte.,solo brezze dal mare durante le ore calde della giornata e non viceversa durante la notte.,1
5106,Generalmente le brezze di valle danno luogo a correnti di pendio anche sui versanti laterali delle valli stesse?,"Si, dipendentemente dalla morfologia del terreno.","Si, indipendentemente dalla morfologia del terreno.","No, in nessun caso.",1
5107,E’ possibile che durante la giornata a causa della brezza di valle si formino nubi cumuliformi anche imponenti?,"Si, perché la brezza solleva aria lungo i pendii montuosi causando possibili fenomeni nuvolosi da sollevamento che in condizioni d’instabilità possono essere anche imponenti.","Si, perché la brezza si riscalda per attrito col terreno, quindi inizia a salire se in regime d’instabilità causando quindi possibili fenomeni nuvolosi da sollevamento.","No, i regimi di brezza non danno mai luogo a fenomeni di sollevamento e condensazione.",1
5108,Può una brezza di valle essere tanto forte da costituire un rischio per i praticanti del Volo Libero?,"Si, particolarmente in corrispondenza delle creste spartiacque.","Si, particolarmente in corrispondenza di strozzature o svolte a gomito della valle e del fondo valle stesso, per effetto Venturi.","No, per nessun motivo.",2
5109,Quando un forte vento impatta di traverso una cresta o un crinale:,l’aria sottovento a essi è in sostanza calma.,l’aria sopravvento a essi è certamente vorticosa e turbolenta.,sottovento ad essi è certa la presenza di rotori e turbolenza.,3
5110,Quando una valle è investita da vento forte la cui direzione è in sostanza parallela a quella del suo asse ci possiamo attendere:,vento forte a scorrimento laminare.,vento forte anche a raffiche con presenza di rotori con asse pressoché parallelo alle linee di massima pendenza dei pendii laterali della valle stessa.,vento forte in presenza di rotori di diametro minimo con asse generalmente parallelo all’asse della valle stessa.,2
5111,Quando una valle è interessata da vento forte la cui direzione forma un angolo superiore a 45° rispetto al suo asse ci possiamo attendere:,"vento quasi calmo lungo i pendii vallivi, ma forte al fondo valle.","vento a raffiche dovunque, con direzione improvvisamente variabile, sintomo della presenza di rotori stazionari e migratori.",vento anche forte ma a scorrimento laminare con direzione costante.,2
5112,"Se un rilievo isolato e tondeggiante è investito dal vento, si genereranno facilmente correnti ascensionali?","Si, perché il vento è costretto comunque a scavalcare l’ostacolo.",Dipende unicamente dalla natura del terreno.,"No, perché il vento tende comunque ad aggirare l’ostacolo.",3
5113,E’ possibile che un rotore che si forma per effetto del vento in corrispondenza di un crinale o una cresta spartiacque dia luogo ad ascendenza costante o quasi?,"No, in nessun caso.","Si, ma solo sul versante sopravento.","Si, anche nel versante sottovento se il rotore è pressoché stazionario e interessa il pendio con la sua parte ascendente.",3
5114,La presenza di rotori sul pendio assolato di un versante vallivo situato in sottovento:,facilita il distacco di termiche anche consistenti e violente dette appunto “di sottovento”.,non ha nulla a che vedere con l’attività termica del pendio.,impedisce il distacco di ogni tipo di termica.,1
5115,A volte la presenza di rotori di sottovento specialmente in corrispondenza di crinali e creste elevate è segnalata:,da formazioni nuvolose dotate di grande velocità di spostamento.,da una particolare foschia nelle zone adiacenti il pendio sottovento.,dalla presenza di nubi rotoriche stazionarie che si formano e si dissolvono continuamente e velocemente.,3
5116,"Quando una catena montuosa è interessata dall’avvezione di una massa d’aria molto umida che tende a scavalcarla, si determinano particolari fenomeni detti:","Stau sopravento con pesanti formazioni nuvolose e conseguenti precipitazioni, Foehn sottovento con vento a raffiche più caldo e secco.","Foehn sopravento con vento a raffiche caldo e secco, Stau sottovento con pesanti formazioni nuvolose e conseguenti precipitazioni.","Stau e Foehn, con uguali conseguenze meteorologiche e climatiche sopravento e sottovento.",1
